0	2	13883	Duran Duran
1	2	11690	Morcheeba
2	2	11351	Air
3	2	10300	Hooverphonic
4	2	8983	Kylie Minogue
5	2	6152	Daft Punk
6	2	5955	Thievery Corporation
7	2	4616	Goldfrapp
8	2	4337	New Order
9	2	4147	Matt Bianco
10	2	3923	Talk Talk
11	2	3782	Prefab Sprout
12	2	3735	Enigma
13	2	3644	Röyksopp
14	2	3579	Coldplay
15	2	3312	Faithless
16	2	3301	Madonna
17	2	2927	Icehouse
18	2	2720	Sade
19	2	2686	Moby
20	2	2654	Dido
21	2	2619	Depeche Mode
22	2	2584	Café Del Mar
23	2	2547	Basia
24	2	2397	Camouflage
25	2	2382	Electronic
26	2	2120	George Michael
27	2	2119	The Adventures
28	2	1990	Fiction Factory
29	2	1972	Groove Armada
30	2	1948	Portishead
31	2	1868	Marc Almond
32	2	1792	Cock Robin
33	2	1740	Cut Copy
34	2	1638	Spandau Ballet
35	2	1594	Katie Melua
36	2	1559	Deacon Blue
37	2	1553	Gorillaz
38	2	1519	Lady Gaga
39	2	1471	Kosheen
40	2	1438	Nik Kershaw
41	2	1411	Vitamin Z
42	2	1407	Jean-Michel Jarre
43	2	1373	Ministry of Sound
44	2	1363	Simply Red
45	2	1342	Fleetwood Mac
46	2	1337	Duffy
47	2	1332	Japan
48	2	1330	INXS
49	2	1315	ABC
50	3	13176	Pleq
51	3	662	Segue
52	3	493	Max Richter
53	3	431	Celer
54	3	403	Pjusk
55	3	354	Pleq & Segue
56	3	269	Burial
57	3	236	Magnitophono
58	3	215	andy graydon
59	3	215	ddekombinacja
60	3	212	Pleq & Anna Rose Carter
61	3	193	Go Koyashiki
62	3	187	Dustin O'Halloran
63	3	167	offthesky
64	3	163	Nebulo
65	3	154	Fjordne
66	3	151	Pleq & Chihiro
67	3	142	Spyweirdos
68	3	142	billy gomberg + offthesky
69	3	125	Deru
70	3	111	Lukid
71	3	108	Manekinekod
72	3	104	Danny Norbury
73	3	99	Shinkei & Mise En Scene
74	3	98	aslope
75	3	94	The Notwist
76	3	89	Off the Sky
77	3	89	strom noir
78	3	86	Aless
79	3	85	Philippe Lamy
80	3	84	Part Timer
81	3	83	Deaf Center
82	3	83	Lauki
83	3	77	Big Brotherz
84	3	77	cokiyu
85	3	76	Verbose
86	3	75	Worm Is Green
87	3	72	Library Tapes
88	3	72	Richard Skelton
89	3	71	Matryoshka
90	3	70	Aidan Baker
91	3	70	Ylid
92	3	70	Daisuke Miyatani
93	3	69	Dakota Suite
94	3	68	Ryonkt
95	3	67	Hird
96	3	67	Svarte Greiner
97	3	66	The Boats
98	3	66	The Sound Of Lucrecia
99	3	65	Porzellan
100	4	228	Duran Duran
101	4	686	Air
102	4	420	Röyksopp
103	4	301	Coldplay
104	4	389	Moby
105	4	4983	Depeche Mode
106	4	396	George Michael
107	4	1807	Deep Forest
108	4	1208	Porcupine Tree
109	4	903	De/Vision
110	4	826	Radiohead
111	4	777	Robbie Williams
112	4	743	VAST
113	4	732	Michael Jackson
114	4	729	עברי לידר
115	4	724	The Cure
116	4	712	אביב גפן
117	4	632	Enrique Iglesias
118	4	524	God Is an Astronaut
119	4	465	Pink Floyd
120	4	455	יוני בלוך
121	4	446	Planet Funk
122	4	445	The Cranberries
123	4	407	Scissor Sisters
124	4	404	דניאל סלומון
125	4	384	אביתר בנאי
126	4	366	Mew
127	4	359	Stereophonics
128	4	309	Garbage
129	4	292	Placebo
130	4	287	Infected Mushroom
131	4	285	Delerium
132	4	284	Scorpions
133	4	284	Rock Star Supernova
134	4	279	Dolores O'Riordan
135	4	264	Tommy Lee
136	4	256	Roxette
137	4	255	Paradise Lost
138	4	254	Keane
139	4	253	Jamiroquai
140	4	247	James Blunt
141	4	240	Reamonn
142	4	236	Blackfield
143	4	223	a-ha
144	4	221	Opeth
145	4	210	Poets of the Fall
146	4	208	Muse
147	4	202	OneRepublic
148	4	197	Elton John
149	4	193	Tears for Fears
150	5	181	Air
151	5	884	Radiohead
152	5	241	Placebo
153	5	222	Keane
154	5	826	Muse
155	5	777	The Tiger Lillies
156	5	673	Bright Eyes
157	5	620	Beirut
158	5	452	Tom Waits
159	5	451	System of a Down
160	5	374	Arcade Fire
161	5	337	Gogol Bordello
162	5	304	Ленинград
163	5	298	CAKE
164	5	287	Blur
165	5	283	Damien Rice
166	5	275	Andrew Bird
167	5	265	Beck
168	5	259	Arctic Monkeys
169	5	255	Babyshambles
170	5	252	My Chemical Romance
171	5	229	Bloc Party
172	5	222	The Decemberists
173	5	210	Bob Dylan
174	5	209	Jacques Brel
175	5	207	DeVotchKa
176	5	196	Jeff Buckley
177	5	192	Sparklehorse
178	5	185	Death Cab for Cutie
179	5	184	Man Man
180	5	178	M. Ward
181	5	170	Red Hot Chili Peppers
182	5	161	Travis
183	5	161	Modest Mouse
184	5	149	Band of Horses
185	5	143	Yeong-wook Jo
186	5	142	Interpol
187	5	139	Queens of the Stone Age
188	5	138	The Beatles
189	5	138	Kings of Leon
190	5	138	The Killers
191	5	137	Green Day
192	5	134	Devendra Banhart
193	5	133	Sunset Rubdown
194	5	130	Nine Inch Nails
195	5	129	Nirvana
196	5	129	Eels
197	5	127	Clap Your Hands Say Yeah
198	5	118	Thom Yorke
199	5	115	Massive Attack
200	6	16	George Michael
201	6	41	Keyshia Cole
202	6	41	Racionais MC's
203	6	40	Toni Braxton
204	6	37	Elo da Corrente
205	6	34	Teta Lando
206	6	33	Flagelo Urbano
207	6	31	Bob Marley & The Wailers
208	6	31	Adriana Calcanhotto
209	6	27	Maxwell
210	6	26	Pharoahe Monch
211	6	24	Common
212	6	24	Bob Marley
213	6	24	Whitney Houston
214	6	24	Tamia
215	6	23	Bryan Adams
216	6	20	Lokua Kanza
217	6	20	Nach
218	6	19	Kid Abelha
219	6	18	Mariah Carey
220	6	18	Tina Turner
221	6	18	9th Wonder
222	6	18	Floetry
223	6	18	Marisa Monte
224	6	17	Mary J. Blige
225	6	17	Jill Scott
226	6	17	Sara Tavares
227	6	17	Céline Dion
228	6	16	Erykah Badu
229	6	16	Nas
230	6	16	Richard Marx
231	6	16	Dru Hill
232	6	16	Maria Bethânia
233	6	15	Mos Def
234	6	15	Faith Evans
235	6	15	Avant
236	6	15	Bob da Rage Sense
237	6	14	Angie Stone
238	6	14	Gang Starr
239	6	14	Papa Wemba
240	6	14	2Pac
241	6	14	Brandy
242	6	14	Sam the Kid
243	6	14	Dealema
244	6	14	Boss AC
245	6	14	Ana Carolina
246	6	13	Dilated Peoples
247	6	13	Janet Jackson
248	6	13	Peter Tosh
249	6	13	Monica
250	7	3151	Kylie Minogue
251	7	2540	Madonna
252	7	5846	Lady Gaga
253	7	5188	Mariah Carey
254	7	43864	Rihanna
255	7	11112	Britney Spears
256	7	6266	Jordin Sparks
257	7	5379	Kelly Clarkson
258	7	4201	Christina Aguilera
259	7	4059	Ashlee Simpson
260	7	3251	Leona Lewis
261	7	2852	Beyoncé
262	7	2356	Sugababes
263	7	1848	David Cook
264	7	1802	Lily Allen
265	7	1780	Jennifer Lopez
266	7	1747	Katy Perry
267	7	1553	Alicia Keys
268	7	1490	P!nk
269	7	1426	Panic at the Disco
270	7	1312	David Archuleta
271	7	1169	Katharine McPhee
272	7	1164	Black Eyed Peas
273	7	1162	Kate Voegele
274	7	1082	Kat DeLuna
275	7	1027	Danity Kane
276	7	962	Nelly Furtado
277	7	960	Natasha Bedingfield
278	7	926	Cassie
279	7	900	Allison Iraheta
280	7	868	Ciara
